date,symbol,open,high,low,close,volume
2018-07-05,TQQQ,7.18625,7.32375,7.07375,7.30625,16405678.0
2018-07-06,TQQQ,7.35125,7.66125,7.315,7.635,18752910.0
2018-07-09,TQQQ,7.76,7.85625,7.67375,7.8475,18094336.0
2018-07-10,TQQQ,7.88125,7.91875,7.785,7.86625,16696014.0
2018-07-11,TQQQ,7.6875,7.8325,7.66125,7.75125,19957358.0
2018-07-12,TQQQ,7.84625,8.14,7.83,8.13375,20337976.0
2018-07-13,TQQQ,8.135,8.20375,8.07375,8.1575,16976474.0
2018-07-16,TQQQ,8.16375,8.2074,8.06,8.1025,13889936.0
2018-07-17,TQQQ,7.85,8.3,7.8475,8.2525,18898428.0
2018-07-18,TQQQ,8.25,8.27325,8.125,8.2,11634498.0
2018-07-19,TQQQ,8.12,8.195,8.0475,8.07875,19218562.0
2018-07-20,TQQQ,8.145,8.22875,8.04125,8.0675,14401716.0
2018-07-23,TQQQ,7.99625,8.15375,7.9,8.1375,15756702.0
2018-07-24,TQQQ,8.39375,8.48125,8.14375,8.24125,23766582.0
2018-07-25,TQQQ,8.2525,8.60125,8.24585,8.585,19649286.0
2018-07-26,TQQQ,8.24,8.3175,8.16375,8.21,27972046.0
2018-07-27,TQQQ,8.355,8.3625,7.7225,7.8675,29524636.0
2018-07-30,TQQQ,7.86875,7.87665,7.415,7.52875,25201478.0
2018-07-31,TQQQ,7.60875,7.78625,7.48875,7.67875,23927938.0
2018-08-01,TQQQ,7.75,7.85375,7.655,7.78375,17325364.0
2018-08-02,TQQQ,7.6125,8.125,7.605,8.09375,23060656.0
2018-08-03,TQQQ,8.13625,8.17375,8.0375,8.16625,18033466.0
2018-08-06,TQQQ,8.15625,8.32075,8.12375,8.31625,17016952.0
2018-08-07,TQQQ,8.38125,8.45,8.33125,8.3975,17992586.0
2018-08-08,TQQQ,8.37,8.48125,8.3001,8.42,15869278.0
2018-08-09,TQQQ,8.4125,8.5125,8.37765,8.4125,13632572.0
2018-08-10,TQQQ,8.245,8.31875,8.1275,8.21625,21406690.0
2018-08-13,TQQQ,8.26125,8.42125,8.18125,8.1925,23168598.0
2018-08-14,TQQQ,8.2825,8.37375,8.15375,8.34375,15181776.0
2018-08-15,TQQQ,8.155,8.225,7.885,8.04,28964302.0
2018-08-16,TQQQ,8.2175,8.26875,8.06625,8.11375,16285592.0
2018-08-17,TQQQ,8.04875,8.1775,7.90125,8.1125,17565602.0
2018-08-20,TQQQ,8.17125,8.17875,8.0,8.09625,16865386.0
2018-08-21,TQQQ,8.1675,8.3275,8.15125,8.18,16767348.0
2018-08-22,TQQQ,8.125,8.3025,8.0989,8.275,15828434.0
2018-08-23,TQQQ,8.23375,8.4075,8.1964,8.23375,17783476.0
2018-08-24,TQQQ,8.32125,8.48375,8.3125,8.4625,15989158.0
2018-08-27,TQQQ,8.59875,8.71875,8.5525,8.7175,18212726.0
2018-08-28,TQQQ,8.79,8.82125,8.705,8.75625,16306280.0
2018-08-29,TQQQ,8.80125,9.075,8.79375,9.0625,16433842.0
2018-08-30,TQQQ,9.0075,9.1694,8.91815,9.01125,21965808.0
2018-08-31,TQQQ,8.9775,9.11875,8.946,9.0375,15795066.0
2018-09-04,TQQQ,8.95875,9.00375,8.7789,8.93,20052330.0
2018-09-05,TQQQ,8.875,8.87875,8.49,8.575,26932318.0
2018-09-06,TQQQ,8.59,8.61625,8.1725,8.34125,28876268.0
2018-09-07,TQQQ,8.17,8.46125,8.1525,8.25875,19252308.0
2018-09-10,TQQQ,8.38595,8.4025,8.19125,8.33125,13862274.0
2018-09-11,TQQQ,8.22125,8.56,8.1625,8.51625,17630644.0
2018-09-12,TQQQ,8.48125,8.49875,8.22375,8.4425,22065370.0
2018-09-13,TQQQ,8.5875,8.7525,8.58375,8.6925,18669068.0
2018-09-14,TQQQ,8.72375,8.7675,8.52625,8.62625,19171972.0
2018-09-17,TQQQ,8.5775,8.60375,8.2325,8.2625,18205784.0
2018-09-18,TQQQ,8.28,8.5807,8.2675,8.45875,18189516.0
2018-09-19,TQQQ,8.4625,8.5225,8.27375,8.44,14740514.0
2018-09-20,TQQQ,8.6025,8.7475,8.54515,8.705,15670858.0
2018-09-21,TQQQ,8.7825,8.8225,8.53875,8.56625,15070300.0
2018-09-24,TQQQ,8.38875,8.64875,8.28,8.64,13218716.0
2018-09-25,TQQQ,8.62375,8.69125,8.53875,8.675,10814816.0
2018-09-26,TQQQ,8.6825,8.93375,8.63875,8.66625,17730026.0
2018-09-27,TQQQ,8.795,8.9975,8.77875,8.90625,14631312.0
2018-09-28,TQQQ,8.83,8.96875,8.785,8.8925,15464452.0
2018-10-01,TQQQ,9.0625,9.1466,8.885,8.94375,17058084.0
2018-10-02,TQQQ,8.92,9.095,8.83,8.8925,16196880.0
2018-10-03,TQQQ,9.00125,9.0625,8.8783,8.91875,16642316.0
2018-10-04,TQQQ,8.8125,8.8225,8.2125,8.41,37722420.0
2018-10-05,TQQQ,8.4,8.47875,7.8525,8.09375,33231004.0
2018-10-08,TQQQ,7.98,8.15625,7.655,7.94875,29838420.0
2018-10-09,TQQQ,7.95875,8.2,7.89875,8.01,26072434.0
2018-10-10,TQQQ,7.87375,7.8825,6.93,6.97125,60713952.0
2018-10-11,TQQQ,6.87625,7.15625,6.47875,6.68875,55608084.0
2018-10-12,TQQQ,7.2225,7.315,6.85,7.25375,42121994.0
2018-10-15,TQQQ,7.1825,7.21375,6.90685,6.98,39933768.0
2018-10-16,TQQQ,7.205,7.64625,7.16875,7.58125,31116684.0
2018-10-17,TQQQ,7.71,7.7225,7.36875,7.60625,32530208.0
2018-10-18,TQQQ,7.5075,7.51625,6.97625,7.07875,39087276.0
2018-10-19,TQQQ,7.22375,7.42375,6.97375,7.05,33709132.0
2018-10-22,TQQQ,7.17625,7.3225,6.99625,7.15625,28731564.0
2018-10-23,TQQQ,6.77375,7.18445,6.52875,7.0775,44195372.0
2018-10-24,TQQQ,7.05125,7.0875,6.085,6.115,51210676.0
2018-10-25,TQQQ,6.38625,6.84625,6.30375,6.7425,38018492.0
2018-10-26,TQQQ,6.05,6.60375,5.935,6.21875,61190312.0
2018-10-29,TQQQ,6.4975,6.575,5.48,5.88625,54490316.0
2018-10-30,TQQQ,5.78,6.13125,5.69625,6.11375,46216398.0
2018-10-31,TQQQ,6.40625,6.7075,6.40625,6.52625,45039428.0
2018-11-01,TQQQ,6.58375,6.8275,6.43015,6.81125,31516544.0
2018-11-02,TQQQ,6.74375,6.86625,6.35,6.50625,43589336.0
2018-11-05,TQQQ,6.51,6.5175,6.22,6.4425,25650160.0
2018-11-06,TQQQ,6.42625,6.69125,6.40875,6.57875,27865318.0
2018-11-07,TQQQ,6.81375,7.195,6.77125,7.18375,34637938.0
2018-11-08,TQQQ,7.09875,7.165,6.9575,7.06125,29381192.0
2018-11-09,TQQQ,6.865,6.91,6.53625,6.7025,34184834.0
2018-11-12,TQQQ,6.5625,6.59865,6.07435,6.11375,38591806.0
2018-11-13,TQQQ,6.18375,6.4375,6.0554,6.11125,38613666.0
