date,symbol,open,high,low,close,volume
2024-06-26,SMH,261.61,263.07,257.75,260.91,5950295
2024-06-27,SMH,260.4,262.43,257.64,258.86,5738731
2024-06-28,SMH,260.475,266.4,258.98,260.7,7743251
2024-07-01,SMH,261,261.349,255.662,261.01,6185982
2024-07-02,SMH,258.99,263.66,258.71,263.63,4117110
2024-07-03,SMH,264.09,270.4,263.28,269.62,4633045
2024-07-05,SMH,271.22,272.05,268.05,269.72,6415237
2024-07-08,SMH,272.84,275.7047,272.55,274.21,5832663
2024-07-09,SMH,276.29,277.61,272.16,274.81,5915764
2024-07-10,SMH,278.13,281.73,276.29,281.27,6180973
2024-07-11,SMH,283,283.07,269.9999,271.02,12287006
2024-07-12,SMH,271.8,278.94,271.06,274.45,8392846
2024-07-15,SMH,276.41,277.4689,272.02,273.83,7814828
2024-07-16,SMH,275.31,275.63,270.5407,273.71,5638589
2024-07-17,SMH,263.79,264,253.85,254.22,15181903
2024-07-18,SMH,259.13,260,250.01,255.54,12807627
2024-07-19,SMH,254.86,255.21,247.79,248.14,8589500
2024-07-22,SMH,253,257.9,251.61,257.72,10757923
2024-07-23,SMH,254.98,257.37,254.335,254.86,5869857
2024-07-24,SMH,250.59,251.32,240.34,240.98,11295018
2024-07-25,SMH,239,243.64,230.82,236.56,18765116
2024-07-26,SMH,242.22,242.32,238.18,240.31,7325633
2024-07-29,SMH,242.44,245.23,237.77,238.6,6745307
2024-07-30,SMH,240.22,240.71,228.33,229.47,12932120
2024-07-31,SMH,242.5,247.69,240.51,246.99,18412093
2024-08-01,SMH,244.04,246.8,227.9004,231.01,17111645
2024-08-02,SMH,219.92,222.34,214.18,218.43,20261333
2024-08-05,SMH,200.98,218.5,200.49,213.31,18420837
2024-08-06,SMH,216.54,222.8,212.64,217.46,15388764
2024-08-07,SMH,224.69,226.1,211.01,211.47,13066499
2024-08-08,SMH,217.6,225.27,212.7,224.91,11407866
2024-08-09,SMH,224.7,226.49,221.39,224.85,7241675
2024-08-12,SMH,225.19,229.55,224.05,226.96,6751158
2024-08-13,SMH,230.545,236.3,228.87,236.19,7647449
2024-08-14,SMH,238.71,239.18,232.16,236.39,7187132
2024-08-15,SMH,240.8,247.34,239.53,246.37,8376779
2024-08-16,SMH,244.21,247.4,243,246.71,5194621
2024-08-19,SMH,245.79,251.4,243.29,251.34,5564348
2024-08-20,SMH,250.15,251.53,245.87,248.06,6578580
2024-08-21,SMH,248.6,251.87,247.865,250.63,4813708
2024-08-22,SMH,252.52,253.32,241.54,242.42,8007438
2024-08-23,SMH,245.85,250.33,244.7,248.39,6933374
2024-08-26,SMH,247.49,248.55,241.13,242.57,6925237
2024-08-27,SMH,240.67,245.75,238.57,245.01,5534390
2024-08-28,SMH,244.5,245.68,237.82,240.89,8114008
2024-08-29,SMH,240.47,244.51,236.78,237.91,9256468
2024-08-30,SMH,242.45,244.6,239.38,243.46,8623765
2024-09-03,SMH,238.87,238.87,223.81,225.19,14466252
2024-09-04,SMH,221.83,228.58,221.46,224.65,8646295
2024-09-05,SMH,222.06,227.77,221.73,224.26,6535443
2024-09-06,SMH,223.35,223.67,213.57,215,12019320
2024-09-09,SMH,218.46,220.31,215.79,219.86,7933427
2024-09-10,SMH,220.62,222.14,216.46,221.94,7651577
2024-09-11,SMH,223.79,233.7,219.4,233.4,11148303
2024-09-12,SMH,232.92,235.955,229.962,233.9,8212412
2024-09-13,SMH,235,237.55,234.22,236.91,6405793
2024-09-16,SMH,233.39,235,230.8678,233.8,5505227
2024-09-17,SMH,236.61,237.13,231.84,233.72,4722843
2024-09-18,SMH,234.89,237.84,230.79,231.06,7299791
2024-09-19,SMH,239.97,243.8525,238.31,241.09,11254192
2024-09-20,SMH,238.8,239.65,234.96,237.9,8183279
2024-09-23,SMH,238.81,239.8199,237.12,238.95,3781433
2024-09-24,SMH,241.08,244.38,238.2838,243.4,5435856
2024-09-25,SMH,243.23,247.0795,242.8,245.54,4978310
2024-09-26,SMH,255.5,255.99,247.37,252.62,10082089
2024-09-27,SMH,253.19,253.21,246.12,247.74,7128566
2024-09-30,SMH,244.15,247.01,241.87,245.45,6256911
2024-10-01,SMH,245.63,246.58,237,238.88,7751838
2024-10-02,SMH,239.17,244.45,237.59,242.32,5842606
2024-10-03,SMH,241.55,247.15,241.34,244.55,5926885
2024-10-04,SMH,249.21,249.21,244.33,247.82,5776498
2024-10-07,SMH,246.53,250.6,246.31,248.22,4958756
2024-10-08,SMH,249.16,253.17,247.88,252.52,4435348
